Denmark Championship. B-League. Women  (1) — 1 match(s)
Colombie. Torneo Aguila  (1) — 1 match(s)
Championnat du Mexique U19. Femmes  (1) — 1 match(s)
Championnat du Mexique. Ligue MX. Femmes  (1) — 1 match(s)
Norvège. Adeccoligaen. Statistiques du tour  (1) — 1 match(s)
Norvège. Division 4  (1) — 1 match(s)
États-Unis. USL. SuperLiga. Femmes  (1) — 1 match(s)
Coupe de République tchèque  (1) — 1 match(s)
Championnat de la République Tchèque. Statistiques du tour  (1) — 1 match(s)
Championnat de la République Tchèque. Femmes  (1) — 1 match(s)
Championnat de Suisse. Superligue. Statistiques de tour  (1) — 1 match(s)
Championnat de Suisse. 2ème Ligue interrégionale  (1) — 1 match(s)
Championnat de Suisse. Brack.ch Challenge League  (1) — 1 match(s)
Championnat de Suède. Allsvenskan. Statistiques de tour  (1) — 1 match(s)
Suède. Division 2. Götaland Nord  (1) — 1 match(s)
Championnat de Corée du Sud. Statistiques de tour  (1) — 1 match(s)
Championnat de Corée du Sud. Deuxième division. Statistiques du tour  (1) — 1 match(s)
Championnat de Corée du Sud. K4-Ligue  (1) — 1 match(s)
South Korea. Championship K3/K4 League  (1) — 1 match(s)
Championnat du Japon. Statistiques de tour  (1) — 1 match(s)
Matchs amicaux U21. Equipes nationales  (1) — 1 match(s)
Australie. NPL Victoria. Femmes  (1) — 1 match(s)
Australie. Qualification  (1) — 1 match(s)
Championnat d'Australie. NPL du Victoria  (1) — 1 match(s)
Championnat d'Estonie. Meistriliiga. Femmes  (1) — 1 match(s)
Estonia. Esiliiga B  (1) — 1 match(s)
Inde. Shillong. Division 1  (1) — 1 match(s)
Championnat d'Irlande du Nord. Championship  (1) — 1 match(s)
Championnat d'Israël. League Bet. Nord  (1) — 1 match(s)
Championnat d'Israël. League Bet. Sud  (1) — 1 match(s)
Coupe d'Ukraine  (1) — 1 match(s)
Championnat d'Uruguay. Femmes  (1) — 1 match(s)
Championnat d'Uruguay. Statistiques de touк  (1) — 1 match(s)
Championnat d'Équateur. Série B  (1) — 1 match(s)
Championnat de Bhoutan  (1) — 1 match(s)
Championnat de Jordanie  (1) — 1 match(s)
